base_size,layer_index,petal_index,opening_degree,cp1_x,cp1_y,cp2_x,cp2_y,cp3_x,cp3_y,cp4_x,cp4_y,cp5_x,cp5_y,cp6_x,cp6_y,cp7_x,cp7_y,cp8_x,cp8_y,extrude_depth
7.496468,2,6,0.660793,-0.774315,0.0,-1.033547,1.928687,-0.7633,4.501637,-0.43796,7.539534,0.200803,7.143066,0.449543,7.289888,0.76374,4.321072,1.028475,1.818947,0.023403
7.496468,2,7,0.660793,-0.718368,0.0,-1.047368,1.914918,-0.719784,4.460842,-0.424014,7.623732,0.185073,7.644992,0.450411,7.100575,0.764126,4.451824,1.031273,1.87455,0.023694
7.496468,2,8,0.660793,-0.758376,0.0,-1.032681,1.962632,-0.745303,4.510782,-0.419786,6.944922,0.193875,7.672125,0.43864,7.277234,0.759139,4.515914,1.040877,1.889493,0.024988
7.496468,2,9,0.660793,-0.720508,0.0,-1.038484,1.922438,-0.747526,4.375954,-0.448514,7.380706,0.195596,7.248695,0.434623,7.63176,0.696436,4.478095,1.040721,1.889071,0.024735
7.496468,2,10,0.660793,-0.783125,0.0,-1.056758,1.908027,-0.734881,4.598286,-0.467249,7.673189,0.200211,6.941939,0.468999,7.287004,0.749845,4.362065,1.051738,1.94063,0.024409
7.496468,2,11,0.660793,-0.750755,0.0,-1.053909,1.827348,-0.727219,4.601225,-0.456596,7.157528,0.200355,7.034788,0.473677,7.321909,0.735548,4.419021,1.042514,1.907071,0.022423
7.496468,2,12,0.660793,-0.762042,0.0,-1.016249,1.884928,-0.728056,4.483126,-0.45545,7.487145,0.204917,7.445277,0.434273,7.517376,0.744511,4.796863,1.076222,1.985039,0.024539
2.422162,0,0,0.361546,-0.176661,0.0,-0.259145,0.531191,-0.168402,1.288444,-0.112144,1.982439,0.003251,2.088309,0.112371,1.984759,0.179066,1.332609,0.260327,0.536875,0.010892
2.422162,0,1,0.361546,-0.180204,0.0,-0.255222,0.511685,-0.185614,1.288837,-0.105966,1.966837,-0.002771,2.142168,0.109047,2.126196,0.17787,1.265583,0.279282,0.522425,0.010853
2.422162,0,2,0.361546,-0.178617,0.0,-0.268061,0.516569,-0.177473,1.23279,-0.108093,1.965936,0.006594,2.152059,0.112774,2.109242,0.184013,1.274933,0.250533,0.49875,0.010982
2.422162,0,3,0.361546,-0.17533,0.0,-0.255676,0.508462,-0.183132,1.293535,-0.106061,1.985296,0.002126,2.093016,0.109715,1.921752,0.18924,1.24997,0.24885,0.527147,0.01082
2.422162,0,4,0.361546,-0.190707,0.0,-0.247324,0.525033,-0.185034,1.209051,-0.10883,1.979934,0.003697,2.141182,0.110616,1.958837,0.190391,1.257308,0.248627,0.544402,0.010808
2.422162,1,0,0.361546,-0.212785,0.0,-0.295112,0.553791,-0.212491,1.457476,-0.121469,2.281089,0.021614,2.466234,0.117747,2.294827,0.2068,1.407084,0.285661,0.55897,0.009909
2.422162,1,1,0.361546,-0.209042,0.0,-0.278049,0.633128,-0.207805,1.438958,-0.126379,2.324854,0.020007,2.378524,0.127389,2.322884,0.188792,1.445075,0.287095,0.584267,0.009509
2.422162,1,2,0.361546,-0.196316,0.0,-0.28169,0.622965,-0.206859,1.452427,-0.123747,2.370266,0.021948,2.368652,0.118958,2.283961,0.208757,1.451469,0.278746,0.591964,0.009384
2.422162,1,3,0.361546,-0.205825,0.0,-0.280846,0.567465,-0.209746,1.415385,-0.124146,2.264174,0.01388,2.402926,0.121021,2.27441,0.20358,1.465162,0.280484,0.593744,0.00969
2.422162,1,4,0.361546,-0.194568,0.0,-0.280807,0.5826,-0.208445,1.457543,-0.125857,2.229552,0.014739,2.417873,0.120642,2.341154,0.204903,1.468352,0.268867,0.581952,0.009967
2.422162,1,5,0.361546,-0.196181,0.0,-0.282421,0.625754,-0.198843,1.44063,-0.126127,2.296693,0.018811,2.407069,0.123534,2.30699,0.210333,1.450494,0.294368,0.594172,0.010065
2.422162,1,6,0.361546,-0.199708,0.0,-0.275129,0.597325,-0.199276,1.432207,-0.124475,2.309586,0.013664,2.494299,0.124202,2.236152,0.201637,1.510081,0.268069,0.590401,0.010099
2.422162,1,7,0.361546,-0.202166,0.0,-0.267072,0.610253,-0.200044,1.433921,-0.124342,2.380136,0.01761,2.411125,0.122715,2.31365,0.206775,1.443151,0.281542,0.60936,0.009796
2.422162,2,0,0.361546,-0.237889,0.0,-0.348316,0.660568,-0.230662,1.55383,-0.136287,2.562113,0.042294,2.760069,0.134718,2.630349,0.244051,1.712295,0.312159,0.651317,0.009361
2.422162,2,1,0.361546,-0.229618,0.0,-0.319083,0.652337,-0.228649,1.637297,-0.142318,2.620464,0.03989,2.472201,0.135274,2.622715,0.225824,1.569157,0.32125,0.686203,0.009007
2.422162,2,2,0.361546,-0.230025,0.0,-0.309839,0.633821,-0.230203,1.59566,-0.134755,2.468771,0.029251,2.579529,0.143557,2.623691,0.235203,1.521437,0.316961,0.656512,0.008604
2.422162,2,3,0.361546,-0.225983,0.0,-0.312444,0.638452,-0.2262,1.581729,-0.131365,2.615312,0.03792,2.643071,0.136952,2.561104,0.226346,1.561085,0.303693,0.685933,0.009198
2.422162,2,4,0.361546,-0.226001,0.0,-0.305089,0.659855,-0.23198,1.603052,-0.144073,2.518784,0.035639,2.66809,0.132845,2.698904,0.21991,1.635366,0.335099,0.643127,0.008509
2.422162,2,5,0.361546,-0.223337,0.0,-0.313005,0.676163,-0.228768,1.622086,-0.134379,2.578282,0.03386,2.553203,0.139741,2.536465,0.228416,1.633105,0.325407,0.698088,0.009
2.422162,2,6,0.361546,-0.221179,0.0,-0.322908,0.671674,-0.224515,1.540716,-0.135669,2.634416,0.036211,2.620643,0.138876,2.636102,0.219948,1.69117,0.301325,0.685882,0.008579
2.422162,2,7,0.361546,-0.2222,0.0,-0.303731,0.600153,-0.21813,1.528226,-0.135751,2.554829,0.036817,2.64629,0.131674,2.65335,0.233601,1.561477,0.323819,0.655028,0.008554
2.422162,2,8,0.361546,-0.226745,0.0,-0.320143,0.663244,-0.208157,1.594594,-0.141735,2.684298,0.033025,2.653304,0.136082,2.639993,0.219727,1.608743,0.309233,0.657024,0.008608
2.422162,2,9,0.361546,-0.224917,0.0,-0.313598,0.65726,-0.227901,1.508877,-0.143896,2.520618,0.031523,2.481845,0.137733,2.569886,0.237787,1.620794,0.302014,0.644508,0.008222
2.422162,2,10,0.361546,-0.222477,0.0,-0.320517,0.627319,-0.236632,1.583862,-0.135597,2.529552,0.033914,2.628858,0.134001,2.470507,0.226553,1.640197,0.30075,0.675318,0.008372
2.422162,2,11,0.361546,-0.234304,0.0,-0.321816,0.6639,-0.217009,1.587966,-0.147069,2.632168,0.03311,2.60968,0.130903,2.524911,0.219447,1.542485,0.3247,0.670761,0.008719
2.422162,2,12,0.361546,-0.230669,0.0,-0.318656,0.647538,-0.225261,1.536625,-0.135739,2.608459,0.03654,2.616842,0.136697,2.690358,0.237277,1.582016,0.306509,0.700322,0.008804
7.091033,0,0,0.386935,-0.520255,0.0,-0.706899,1.5602,-0.554164,3.743973,-0.334732,5.961781,-0.005008,5.961413,0.30318,6.042741,0.553647,3.449921,0.708337,1.564381,0.030626
7.091033,0,1,0.386935,-0.548674,0.0,-0.733321,1.515339,-0.525855,3.653407,-0.334444,5.927828,-0.009344,5.921058,0.309316,5.866127,0.550401,3.849507,0.769205,1.549691,0.031763
7.091033,0,2,0.386935,-0.528965,0.0,-0.750374,1.55229,-0.53782,3.681272,-0.316597,6.056958,-0.002954,6.520414,0.315979,5.683217,0.538692,3.755498,0.765484,1.520757,0.031011
7.091033,0,3,0.386935,-0.534456,0.0,-0.74427,1.454161,-0.546487,3.818033,-0.311745,5.687106,-0.004849,6.170788,0.323837,5.880986,0.52695,3.816651,0.731695,1.398442,0.031694
7.091033,0,4,0.386935,-0.549514,0.0,-0.749718,1.486798,-0.521113,3.780733,-0.320425,5.814694,0.017761,5.975932,0.327335,6.09972,0.497626,3.737237,0.713747,1.525808,0.031884
7.091033,1,0,0.386935,-0.565481,0.0,-0.851939,1.778268,-0.625283,3.887312,-0.375718,6.855156,0.072165,7.186785,0.359911,6.507334,0.629051,4.228679,0.824939,1.666966,0.028387
7.091033,1,1,0.386935,-0.60538,0.0,-0.827586,1.702623,-0.603159,4.143438,-0.374632,6.635852,0.064635,6.877464,0.369771,6.812865,0.582013,4.057783,0.887329,1.796864,0.028055
7.091033,1,2,0.386935,-0.606205,0.0,-0.841204,1.689956,-0.613653,4.112057,-0.356791,6.493787,0.030978,7.525511,0.351582,6.760224,0.628086,4.406098,0.863175,1.699861,0.027253
7.091033,1,3,0.386935,-0.61869,0.0,-0.834125,1.760756,-0.591881,4.055222,-0.371465,6.606507,0.041029,7.116568,0.358051,6.529511,0.610859,4.112561,0.841133,1.737266,0.027623
7.091033,1,4,0.386935,-0.612181,0.0,-0.837605,1.811318,-0.605714,4.247414,-0.366148,6.285016,0.060353,6.973356,0.350978,6.619532,0.605405,4.21232,0.885681,1.656495,0.028831
7.091033,1,5,0.386935,-0.564063,0.0,-0.854754,1.803382,-0.601402,4.240293,-0.375789,6.685756,0.04725,6.759623,0.350908,6.331882,0.624982,4.103574,0.836908,1.722845,0.026793
7.091033,1,6,0.386935,-0.622083,0.0,-0.84273,1.742939,-0.586528,4.165739,-0.356483,6.955624,0.080771,7.055953,0.369091,6.504158,0.57409,4.074699,0.844634,1.748527,0.028123
7.091033,1,7,0.386935,-0.615703,0.0,-0.831934,1.742904,-0.564788,4.14205,-0.368767,6.730965,0.054377,6.65509,0.363554,6.518328,0.644642,4.365453,0.833486,1.753567,0.029336
7.091033,2,0,0.386935,-0.649432,0.0,-0.923646,1.915395,-0.66778,4.70768,-0.42403,7.493212,0.093139,7.369306,0.399342,7.611141,0.675794,4.73361,0.916729,1.96575,0.024684
7.091033,2,1,0.386935,-0.647067,0.0,-0.9442,1.948931,-0.662461,4.394272,-0.420411,7.453679,0.128438,7.52254,0.403271,7.518052,0.661089,4.940031,0.925269,1.932541,0.024655
7.091033,2,2,0.386935,-0.684026,0.0,-0.986728,1.995164,-0.649157,4.400237,-0.399451,7.764617,0.115118,7.906144,0.376648,7.292003,0.641892,4.771797,0.934762,1.884678,0.025278
7.091033,2,3,0.386935,-0.634341,0.0,-0.969214,1.929945,-0.620785,4.640539,-0.368377,7.138053,0.134475,7.363578,0.400937,7.916783,0.651453,4.607306,0.929714,1.952292,0.025703
7.091033,2,4,0.386935,-0.667717,0.0,-0.953625,1.967781,-0.658606,4.720423,-0.392597,7.44815,0.106743,7.679539,0.40057,7.226674,0.664006,4.665716,0.908324,1.935277,0.025083
7.091033,2,5,0.386935,-0.634178,0.0,-0.861574,1.944375,-0.635111,4.558318,-0.393132,7.751675,0.107225,8.053162,0.394163,7.856406,0.658011,4.582874,0.948984,1.836304,0.024143
7.091033,2,6,0.386935,-0.621526,0.0,-0.948921,1.988437,-0.657056,4.297615,-0.41832,7.729025,0.12715,7.595783,0.397961,7.560593,0.699446,4.751298,0.961147,1.936014,0.023875
7.091033,2,7,0.386935,-0.66239,0.0,-0.952622,1.9388,-0.659606,4.45761,-0.402608,7.620418,0.116321,7.878345,0.408277,7.592221,0.656992,4.548328,0.950674,1.959513,0.025453
7.091033,2,8,0.386935,-0.685441,0.0,-0.991973,1.934457,-0.697576,4.323014,-0.389194,7.817462,0.108486,7.900574,0.391528,7.638187,0.661687,4.591063,0.956799,1.920849,0.026045
7.091033,2,9,0.386935,-0.668657,0.0,-0.95687,1.991998,-0.674828,4.516082,-0.401857,7.462719,0.108963,7.631213,0.398713,7.598066,0.683523,4.772921,0.913643,1.835985,0.025921
7.091033,2,10,0.386935,-0.646774,0.0,-0.939588,1.939996,-0.644257,4.754436,-0.413886,7.871819,0.122941,7.400506,0.412564,7.458313,0.659966,4.679906,0.918514,1.871099,0.02516
7.091033,2,11,0.386935,-0.640617,0.0,-0.923549,1.785945,-0.67382,4.684939,-0.407663,7.18798,0.113787,7.599371,0.41337,7.745842,0.682654,4.797549,0.911347,1.895412,0.027078
7.091033,2,12,0.386935,-0.66629,0.0,-0.923513,1.898061,-0.691558,4.678464,-0.405512,7.834,0.112306,7.85789,0.404306,7.292904,0.679923,4.442105,0.98157,1.926618,0.025596
4.254202,0,0,0.062315,-0.292576,0.0,-0.411012,0.946265,-0.302061,2.568863,-0.187599,3.923124,-0.000334,4.039708,0.173915,3.764268,0.322719,2.345104,0.412669,0.998391,0.019995
4.254202,0,1,0.062315,-0.305234,0.0,-0.409697,1.042437,-0.286027,2.424108,-0.183881,3.790804,-0.002743,4.171609,0.185133,3.799043,0.303175,2.393102,0.426804,0.956823,0.021191
4.254202,0,2,0.062315,-0.310753,0.0,-0.408674,1.032293,-0.299147,2.338661,-0.183383,3.968285,0.009227,3.897491,0.184401,3.663289,0.294114,2.441866,0.399128,1.01818,0.021513
4.254202,0,3,0.062315,-0.314768,0.0,-0.43595,1.01045,-0.283355,2.457662,-0.184989,3.834849,-0.004747,4.10596,0.179108,3.805246,0.305531,2.526959,0.450011,1.006369,0.021419
4.254202,0,4,0.062315,-0.300266,0.0,-0.417197,0.982916,-0.304458,2.388477,-0.185507,3.730825,0.005008,4.004713,0.182917,3.760299,0.317096,2.223181,0.421923,0.955008,0.021289
4.254202,1,0,0.062315,-0.345875,0.0,-0.490972,1.157699,-0.348581,2.744375,-0.200306,4.263068,0.004063,4.573515,0.211524,4.516374,0.352505,2.895636,0.462341,1.124219,0.018686
4.254202,1,1,0.062315,-0.357506,0.0,-0.443319,1.146655,-0.328572,2.737452,-0.19571,4.496447,-0.0007,4.363548,0.208679,4.469318,0.345859,2.785964,0.460266,1.182679,0.018261
4.254202,1,2,0.062315,-0.342545,0.0,-0.484517,1.182332,-0.315069,2.741664,-0.214516,4.565753,0.007802,4.428808,0.199722,4.489972,0.338313,2.754819,0.480797,1.057401,0.019389
4.254202,1,3,0.062315,-0.345103,0.0,-0.497816,1.086498,-0.322124,2.621378,-0.205933,4.283042,-0.00062,4.456107,0.20507,4.5038,0.328553,2.577528,0.499511,1.105877,0.018253
4.254202,1,4,0.062315,-0.345168,0.0,-0.462389,1.108956,-0.335931,2.830308,-0.207618,4.508842,0.01722,4.659558,0.194367,4.402314,0.342941,2.708815,0.501695,1.102968,0.018333
4.254202,1,5,0.062315,-0.333989,0.0,-0.474156,1.149439,-0.330493,2.734522,-0.197303,4.39145,0.001983,4.740912,0.189746,4.594415,0.339962,2.805691,0.481056,1.0684,0.019306
4.254202,1,6,0.062315,-0.346357,0.0,-0.490464,1.139978,-0.341073,2.623676,-0.199194,4.502729,-0.007327,4.494408,0.198992,4.270801,0.341526,2.71532,0.482981,1.117782,0.01877
4.254202,1,7,0.062315,-0.332769,0.0,-0.493153,1.101185,-0.355194,2.819212,-0.203468,4.102059,0.003685,4.532482,0.198351,4.458366,0.346156,2.733626,0.492715,1.099772,0.018282
4.254202,2,0,0.062315,-0.355111,0.0,-0.51922,1.2572,-0.381944,3.062183,-0.218478,4.887165,0.009277,4.916134,0.216413,4.790788,0.37439,2.987101,0.525066,1.3233,0.015545
4.254202,2,1,0.062315,-0.385283,0.0,-0.513727,1.248191,-0.384159,2.937094,-0.242526,4.982844,0.008487,4.964966,0.229821,5.056102,0.359929,2.910091,0.501112,1.294752,0.016688
4.254202,2,2,0.062315,-0.385014,0.0,-0.515501,1.233549,-0.370455,3.215196,-0.224084,4.749702,0.012825,5.175231,0.224495,5.021944,0.374596,3.074439,0.568429,1.274116,0.01626
4.254202,2,3,0.062315,-0.415349,0.0,-0.542439,1.183372,-0.39253,2.943724,-0.209893,5.019282,0.015154,5.137216,0.20768,4.971758,0.384013,3.148716,0.533324,1.311678,0.016271
4.254202,2,4,0.062315,-0.370131,0.0,-0.543987,1.231885,-0.360741,3.117636,-0.232228,4.851867,0.018309,4.93034,0.228137,4.745336,0.379298,2.921384,0.482551,1.212684,0.016356
4.254202,2,5,0.062315,-0.369759,0.0,-0.517971,1.226622,-0.380191,3.01119,-0.214952,4.898227,0.003768,4.855155,0.23412,4.906475,0.378455,2.994769,0.514712,1.264438,0.016589
4.254202,2,6,0.062315,-0.388064,0.0,-0.516766,1.260233,-0.372024,3.087108,-0.22789,5.109616,0.012219,5.163068,0.217649,4.907556,0.375879,3.089619,0.535523,1.255167,0.016956
4.254202,2,7,0.062315,-0.370805,0.0,-0.546593,1.261788,-0.385097,2.969677,-0.226233,4.942557,0.001087,5.231626,0.227707,4.98707,0.376608,3.07933,0.543079,1.305714,0.01807
4.254202,2,8,0.062315,-0.386973,0.0,-0.522423,1.315921,-0.361963,3.080553,-0.227862,4.94487,0.006414,5.184153,0.216752,5.093112,0.379611,2.955152,0.529295,1.233863,0.017361
4.254202,2,9,0.062315,-0.353111,0.0,-0.525214,1.307402,-0.386461,3.241289,-0.227157,4.835723,0.007307,4.98105,0.232066,4.980283,0.384584,2.941295,0.532142,1.223979,0.017001
4.254202,2,10,0.062315,-0.388147,0.0,-0.513568,1.328209,-0.374177,3.039285,-0.222754,4.820283,0.010917,5.312744,0.218739,4.845262,0.375071,3.050178,0.528603,1.255857,0.017105
4.254202,2,11,0.062315,-0.367708,0.0,-0.528723,1.310853,-0.385681,3.046618,-0.222532,4.794332,0.014244,5.011315,0.233881,4.972973,0.390728,2.953572,0.509183,1.255286,0.015761
4.254202,2,12,0.062315,-0.34759,0.0,-0.515422,1.186234,-0.376684,2.937335,-0.231551,4.927088,0.005736,5.022802,0.222879,4.984886,0.376103,3.006794,0.502837,1.254871,0.016913
3.465268,0,0,0.976821,-0.280317,0.0,-0.417629,0.638929,-0.282868,1.528098,-0.167107,2.417847,-0.00806,2.570335,0.181002,2.356653,0.288652,1.4815,0.421392,0.639563,0.012459
3.465268,0,1,0.976821,-0.288586,0.0,-0.396333,0.660806,-0.293823,1.407062,-0.16752,2.370361,-0.013907,2.644304,0.180435,2.444262,0.310444,1.535832,0.400522,0.622116,0.011609
3.465268,0,2,0.976821,-0.284849,0.0,-0.402357,0.628749,-0.277181,1.57891,-0.177826,2.310844,-0.002268,2.584581,0.180682,2.282316,0.279144,1.496347,0.3895,0.620809,0.011934
3.465268,0,3,0.976821,-0.278324,0.0,-0.392786,0.616264,-0.292116,1.411239,-0.166316,2.338497,0.007481,2.430715,0.171947,2.446738,0.283196,1.574216,0.40377,0.631331,0.012613
