base_size,layer_index,petal_index,opening_degree,tip_x,tip_y,tip_z,base_spread,base_z_offset,extrude_depth,rotation_angle
2.9123,3,9,0.626,0.353182,2.925388,0.192346,0.993195,0.0,0.038111,157.5
2.9123,3,10,0.626,0.348661,2.945294,0.200386,0.958683,0.0,0.036657,295.0
2.9123,3,11,0.626,0.355094,2.921621,0.200026,1.011983,0.0,0.037553,72.5
2.9123,3,12,0.626,0.340638,2.818427,0.208364,0.970174,0.0,0.038789,210.0
4.154,1,0,0.1391,0.0,2.826642,0.223214,0.777669,0.142915,0.046641,0.0
4.154,1,1,0.1391,0.0,3.048289,0.239173,0.789528,0.135652,0.044417,137.5
4.154,1,2,0.1391,0.0,2.935941,0.238321,0.772135,0.137965,0.045033,275.0
4.154,1,3,0.1391,0.0,2.955154,0.23384,0.796479,0.135714,0.045602,52.5
4.154,1,4,0.1391,0.0,2.783712,0.241249,0.781946,0.131694,0.045054,190.0
4.154,2,0,0.1391,0.056079,3.798942,0.308102,1.004622,0.070063,0.050983,0.0
4.154,2,1,0.1391,0.058374,3.815391,0.30953,1.03197,0.073397,0.048242,137.5
4.154,2,2,0.1391,0.059914,3.921497,0.315124,1.029588,0.068256,0.047456,275.0
4.154,2,3,0.1391,0.056751,3.873507,0.309569,0.983292,0.071534,0.04941,52.5
4.154,2,4,0.1391,0.058543,3.885016,0.318612,0.998308,0.068511,0.048516,190.0
4.154,2,5,0.1391,0.057897,4.021926,0.292847,1.013899,0.07021,0.051701,327.5
4.154,2,6,0.1391,0.059009,3.678189,0.304183,1.022538,0.073256,0.047915,105.0
4.154,2,7,0.1391,0.055978,3.893274,0.295856,1.075554,0.06648,0.050663,242.5
4.154,3,0,0.1391,0.123421,4.415092,0.404943,1.237201,0.0,0.053746,0.0
4.154,3,1,0.1391,0.118081,4.85934,0.402661,1.275686,0.0,0.054642,137.5
4.154,3,2,0.1391,0.123712,4.734729,0.392153,1.31209,0.0,0.052118,275.0
4.154,3,3,0.1391,0.114816,4.963787,0.415422,1.359195,0.0,0.057069,52.5
4.154,3,4,0.1391,0.116141,4.752179,0.380816,1.370006,0.0,0.053275,190.0
4.154,3,5,0.1391,0.113994,4.768447,0.402945,1.274715,0.0,0.054717,327.5
4.154,3,6,0.1391,0.121414,4.936807,0.385724,1.292318,0.0,0.052825,105.0
4.154,3,7,0.1391,0.121988,4.433495,0.395288,1.287454,0.0,0.052888,242.5
4.154,3,8,0.1391,0.11637,4.724524,0.398607,1.246541,0.0,0.056686,20.0
4.154,3,9,0.1391,0.113515,4.917552,0.372119,1.239392,0.0,0.053929,157.5
4.154,3,10,0.1391,0.113489,4.860239,0.419573,1.271589,0.0,0.053946,295.0
4.154,3,11,0.1391,0.119671,5.027159,0.361935,1.240512,0.0,0.054546,72.5
4.154,3,12,0.1391,0.116576,4.979076,0.381607,1.310897,0.0,0.051997,210.0
4.9723,1,0,0.4167,0.0,3.222191,0.229329,0.956821,0.163312,0.050306,0.0
4.9723,1,1,0.4167,0.0,3.25478,0.243245,0.996973,0.166919,0.053996,137.5
4.9723,1,2,0.4167,0.0,3.29267,0.223207,0.959144,0.164694,0.055238,275.0
4.9723,1,3,0.4167,0.0,3.215112,0.230191,0.978435,0.159697,0.056391,52.5
4.9723,1,4,0.4167,0.0,3.14763,0.233587,0.99525,0.169086,0.051389,190.0
4.9723,2,0,0.4167,0.213229,4.447219,0.326531,1.35034,0.085267,0.061036,0.0
4.9723,2,1,0.4167,0.212106,4.354679,0.323482,1.26778,0.082151,0.060887,137.5
4.9723,2,2,0.4167,0.212332,4.391847,0.325349,1.28906,0.081674,0.058902,275.0
4.9723,2,3,0.4167,0.187426,4.45269,0.31328,1.256064,0.08627,0.060966,52.5
4.9723,2,4,0.4167,0.213845,4.236276,0.307878,1.243835,0.079641,0.058193,190.0
4.9723,2,5,0.4167,0.212559,4.286677,0.300876,1.284561,0.083083,0.059196,327.5
4.9723,2,6,0.4167,0.210791,4.103904,0.310406,1.324827,0.080838,0.059574,105.0
4.9723,2,7,0.4167,0.206399,4.149827,0.346661,1.224346,0.081757,0.060179,242.5
4.9723,3,0,0.4167,0.413045,5.07356,0.379374,1.595048,0.0,0.067701,0.0
4.9723,3,1,0.4167,0.411342,5.620342,0.422165,1.684627,0.0,0.064707,137.5
4.9723,3,2,0.4167,0.435737,5.329404,0.39807,1.630717,0.0,0.065561,275.0
4.9723,3,3,0.4167,0.438959,5.351293,0.388999,1.557338,0.0,0.065044,52.5
4.9723,3,4,0.4167,0.423161,5.429377,0.393604,1.568034,0.0,0.065379,190.0
4.9723,3,5,0.4167,0.401416,5.409365,0.406767,1.580863,0.0,0.065577,327.5
4.9723,3,6,0.4167,0.411023,5.414852,0.392003,1.654288,0.0,0.06192,105.0
4.9723,3,7,0.4167,0.400167,5.400411,0.39838,1.543104,0.0,0.063261,242.5
4.9723,3,8,0.4167,0.399247,5.440599,0.392158,1.596789,0.0,0.057844,20.0
4.9723,3,9,0.4167,0.421993,5.295507,0.393729,1.606965,0.0,0.062319,157.5
4.9723,3,10,0.4167,0.415544,5.460936,0.383266,1.610076,0.0,0.064684,295.0
4.9723,3,11,0.4167,0.410482,5.43982,0.408407,1.654665,0.0,0.063694,72.5
4.9723,3,12,0.4167,0.391878,5.362725,0.370492,1.655315,0.0,0.064285,210.0
4.2304,1,0,0.3866,0.0,2.739576,0.207651,0.830854,0.136939,0.046246,0.0
4.2304,1,1,0.3866,0.0,2.753647,0.209501,0.782975,0.137887,0.047407,137.5
4.2304,1,2,0.3866,0.0,2.830251,0.206763,0.805214,0.140796,0.048106,275.0
4.2304,1,3,0.3866,0.0,2.847817,0.199543,0.812074,0.139474,0.049503,52.5
4.2304,1,4,0.3866,0.0,2.663391,0.203184,0.845417,0.147541,0.047971,190.0
4.2304,2,0,0.3866,0.167709,3.627598,0.259902,1.054145,0.066489,0.050265,0.0
4.2304,2,1,0.3866,0.162566,3.708527,0.27417,1.138703,0.072028,0.050188,137.5
4.2304,2,2,0.3866,0.169918,3.557362,0.261708,1.079595,0.071246,0.052499,275.0
4.2304,2,3,0.3866,0.16024,3.584569,0.259485,1.119737,0.072666,0.050045,52.5
4.2304,2,4,0.3866,0.16471,3.709384,0.275978,1.132225,0.07249,0.050132,190.0
4.2304,2,5,0.3866,0.159624,3.766095,0.283172,1.047625,0.069956,0.052193,327.5
4.2304,2,6,0.3866,0.16257,3.654316,0.269276,1.086025,0.07181,0.049302,105.0
4.2304,2,7,0.3866,0.158513,3.496833,0.275642,1.149748,0.067394,0.052408,242.5
4.2304,3,0,0.3866,0.320275,4.676265,0.335593,1.392304,0.0,0.05249,0.0
4.2304,3,1,0.3866,0.34399,4.405981,0.318524,1.337502,0.0,0.055884,137.5
4.2304,3,2,0.3866,0.343054,4.886707,0.333636,1.342471,0.0,0.055653,275.0
4.2304,3,3,0.3866,0.343277,4.656772,0.341865,1.35887,0.0,0.053944,52.5
4.2304,3,4,0.3866,0.349371,4.901583,0.340153,1.328498,0.0,0.05635,190.0
4.2304,3,5,0.3866,0.325782,4.694254,0.33079,1.339517,0.0,0.055477,327.5
4.2304,3,6,0.3866,0.338299,4.61657,0.339734,1.450482,0.0,0.054006,105.0
4.2304,3,7,0.3866,0.32762,4.586334,0.325499,1.333711,0.0,0.05575,242.5
4.2304,3,8,0.3866,0.323578,4.637036,0.347742,1.316843,0.0,0.053821,20.0
4.2304,3,9,0.3866,0.318431,4.528927,0.362225,1.356086,0.0,0.055994,157.5
4.2304,3,10,0.3866,0.333816,4.430075,0.351134,1.426083,0.0,0.056228,295.0
4.2304,3,11,0.3866,0.341873,4.591955,0.347098,1.382432,0.0,0.056201,72.5
4.2304,3,12,0.3866,0.317685,4.674233,0.344741,1.3688,0.0,0.054265,210.0
2.9899,1,0,0.4006,0.0,2.042723,0.14199,0.598067,0.104929,0.032673,0.0
2.9899,1,1,0.4006,0.0,1.970179,0.139482,0.592492,0.107282,0.033648,137.5
2.9899,1,2,0.4006,0.0,1.954194,0.136406,0.574256,0.100351,0.033612,275.0
2.9899,1,3,0.4006,0.0,1.942474,0.147773,0.578779,0.104789,0.034167,52.5
2.9899,1,4,0.4006,0.0,2.002899,0.145528,0.591553,0.102888,0.030291,190.0
2.9899,2,0,0.4006,0.121691,2.482091,0.193636,0.818114,0.049273,0.034787,0.0
2.9899,2,1,0.4006,0.119099,2.499629,0.199867,0.799377,0.048462,0.035337,137.5
2.9899,2,2,0.4006,0.12194,2.51878,0.196057,0.791044,0.051086,0.036179,275.0
2.9899,2,3,0.4006,0.121914,2.662268,0.198365,0.748576,0.049302,0.035182,52.5
2.9899,2,4,0.4006,0.12788,2.441284,0.203596,0.772854,0.048908,0.034861,190.0
2.9899,2,5,0.4006,0.120834,2.710293,0.186501,0.811037,0.05237,0.034678,327.5
2.9899,2,6,0.4006,0.126396,2.585541,0.191665,0.750226,0.049736,0.035014,105.0
2.9899,2,7,0.4006,0.128839,2.601705,0.188708,0.807445,0.051317,0.036375,242.5
2.9899,3,0,0.4006,0.236838,3.245258,0.245703,0.952204,0.0,0.036714,0.0
2.9899,3,1,0.4006,0.236783,2.99687,0.238454,0.997535,0.0,0.039291,137.5
2.9899,3,2,0.4006,0.244933,3.290044,0.243021,0.947619,0.0,0.040839,275.0
2.9899,3,3,0.4006,0.231517,3.462984,0.23283,0.938791,0.0,0.038431,52.5
2.9899,3,4,0.4006,0.260436,3.338109,0.234436,0.955668,0.0,0.038885,190.0
2.9899,3,5,0.4006,0.249408,3.155726,0.246069,0.968292,0.0,0.038544,327.5
2.9899,3,6,0.4006,0.236746,3.389247,0.247296,0.974365,0.0,0.038573,105.0
2.9899,3,7,0.4006,0.2315,3.092192,0.226752,1.018624,0.0,0.040424,242.5
2.9899,3,8,0.4006,0.231557,3.163237,0.225574,0.963456,0.0,0.038254,20.0
2.9899,3,9,0.4006,0.250479,3.249627,0.240935,0.980832,0.0,0.036306,157.5
2.9899,3,10,0.4006,0.241624,3.223251,0.23245,0.994657,0.0,0.038957,295.0
2.9899,3,11,0.4006,0.249624,3.266434,0.228309,0.922957,0.0,0.039944,72.5
2.9899,3,12,0.4006,0.230643,3.286555,0.240714,1.01667,0.0,0.038355,210.0
2.9917,1,0,0.3891,0.0,1.992982,0.142632,0.579425,0.101594,0.033967,0.0
2.9917,1,1,0.3891,0.0,1.984792,0.149632,0.584253,0.095008,0.032617,137.5
2.9917,1,2,0.3891,0.0,2.137383,0.146929,0.553421,0.100043,0.031466,275.0
2.9917,1,3,0.3891,0.0,1.961109,0.142716,0.61028,0.102291,0.034435,52.5
2.9917,1,4,0.3891,0.0,1.9959,0.141524,0.579107,0.097863,0.032478,190.0
2.9917,2,0,0.3891,0.114181,2.562239,0.193402,0.811075,0.047668,0.034779,0.0
2.9917,2,1,0.3891,0.115359,2.610139,0.193416,0.805082,0.049719,0.038257,137.5
2.9917,2,2,0.3891,0.122501,2.489939,0.186128,0.788264,0.051371,0.035323,275.0
2.9917,2,3,0.3891,0.119166,2.595044,0.192785,0.793678,0.050824,0.037515,52.5
2.9917,2,4,0.3891,0.116746,2.700528,0.186501,0.814277,0.052901,0.036094,190.0
2.9917,2,5,0.3891,0.110649,2.468948,0.188372,0.752652,0.050445,0.035198,327.5
2.9917,2,6,0.3891,0.110056,2.655289,0.197186,0.768041,0.05187,0.03707,105.0
2.9917,2,7,0.3891,0.116104,2.663082,0.19886,0.810364,0.05043,0.035038,242.5
2.9917,3,0,0.3891,0.21984,3.234561,0.230474,0.964153,0.0,0.038526,0.0
2.9917,3,1,0.3891,0.229651,3.329261,0.23108,0.937465,0.0,0.039025,137.5
2.9917,3,2,0.3891,0.244154,3.386074,0.252901,0.969162,0.0,0.038361,275.0
2.9917,3,3,0.3891,0.229922,3.18174,0.250943,0.969951,0.0,0.039759,52.5
2.9917,3,4,0.3891,0.237226,3.193589,0.250886,0.965844,0.0,0.040304,190.0
2.9917,3,5,0.3891,0.224647,3.293063,0.24325,0.950802,0.0,0.037798,327.5
2.9917,3,6,0.3891,0.222757,3.311202,0.238695,0.989553,0.0,0.037215,105.0
2.9917,3,7,0.3891,0.234683,3.363697,0.244213,0.987695,0.0,0.037959,242.5
2.9917,3,8,0.3891,0.229889,3.297277,0.239173,0.977247,0.0,0.041013,20.0
2.9917,3,9,0.3891,0.238267,3.199984,0.239065,0.938178,0.0,0.0395,157.5
2.9917,3,10,0.3891,0.232349,3.307332,0.239001,0.974503,0.0,0.039028,295.0
2.9917,3,11,0.3891,0.230749,3.034865,0.249506,1.011629,0.0,0.039242,72.5
2.9917,3,12,0.3891,0.234194,3.270898,0.234762,0.974652,0.0,0.038831,210.0
3.5136,1,0,0.2151,0.0,2.490475,0.178055,0.655294,0.11393,0.037671,0.0
3.5136,1,1,0.2151,0.0,2.398179,0.186833,0.600635,0.11468,0.038481,137.5
3.5136,1,2,0.2151,0.0,2.357798,0.186241,0.641572,0.112766,0.03978,275.0
3.5136,1,3,0.2151,0.0,2.33287,0.197951,0.651162,0.119383,0.037485,52.5
3.5136,1,4,0.2151,0.0,2.2783,0.191939,0.638498,0.111637,0.038194,190.0
3.5136,2,0,0.2151,0.077513,3.32242,0.258635,0.865657,0.056275,0.041778,0.0
3.5136,2,1,0.2151,0.075,3.142908,0.264431,0.861941,0.058059,0.041746,137.5
3.5136,2,2,0.2151,0.075412,3.269244,0.243444,0.885563,0.059581,0.041709,275.0
3.5136,2,3,0.2151,0.075779,3.268449,0.251291,0.887381,0.057269,0.043891,52.5
3.5136,2,4,0.2151,0.075655,3.150448,0.25096,0.889446,0.060017,0.041177,190.0
3.5136,2,5,0.2151,0.073368,3.232313,0.248875,0.89333,0.061663,0.042016,327.5
3.5136,2,6,0.2151,0.073098,3.157722,0.252563,0.901418,0.057411,0.042306,105.0
3.5136,2,7,0.2151,0.076651,3.065567,0.242982,0.906208,0.058384,0.040474,242.5
3.5136,3,0,0.2151,0.145132,3.885786,0.312184,1.042532,0.0,0.044633,0.0
3.5136,3,1,0.2151,0.150591,3.782092,0.312174,1.115524,0.0,0.04327,137.5
3.5136,3,2,0.2151,0.152463,3.890864,0.300555,1.063254,0.0,0.046706,275.0
3.5136,3,3,0.2151,0.145967,4.344843,0.311588,1.155238,0.0,0.04764,52.5
3.5136,3,4,0.2151,0.156261,3.848482,0.318955,1.115772,0.0,0.044488,190.0
3.5136,3,5,0.2151,0.152005,4.057145,0.31899,1.10328,0.0,0.045216,327.5
3.5136,3,6,0.2151,0.14768,4.297777,0.307845,1.134976,0.0,0.046353,105.0
3.5136,3,7,0.2151,0.147241,4.094848,0.321356,1.109134,0.0,0.042887,242.5
3.5136,3,8,0.2151,0.152952,4.064742,0.314452,1.092214,0.0,0.046441,20.0
3.5136,3,9,0.2151,0.152918,4.027351,0.300121,1.107619,0.0,0.044745,157.5
3.5136,3,10,0.2151,0.143136,4.024226,0.307189,1.088842,0.0,0.046093,295.0
3.5136,3,11,0.2151,0.156049,4.039906,0.322995,1.125132,0.0,0.04851,72.5
3.5136,3,12,0.2151,0.143021,3.920594,0.317833,1.060432,0.0,0.046268,210.0
1.5038,1,0,0.6277,0.0,0.903389,0.062612,0.288031,0.049348,0.016852,0.0
1.5038,1,1,0.6277,0.0,0.903464,0.061465,0.302487,0.049898,0.016233,137.5
1.5038,1,2,0.6277,0.0,0.898202,0.063315,0.307339,0.049168,0.017369,275.0
1.5038,1,3,0.6277,0.0,0.925204,0.061968,0.29806,0.049541,0.017062,52.5
1.5038,1,4,0.6277,0.0,0.86208,0.063373,0.299619,0.049833,0.015563,190.0
1.5038,2,0,0.6277,0.094468,1.165953,0.080333,0.40391,0.02528,0.017261,0.0
1.5038,2,1,0.6277,0.092872,1.211444,0.082671,0.41823,0.024786,0.01785,137.5
1.5038,2,2,0.6277,0.094802,1.185668,0.082162,0.419754,0.026168,0.017732,275.0
1.5038,2,3,0.6277,0.097926,1.209529,0.08373,0.400691,0.024733,0.017222,52.5
1.5038,2,4,0.6277,0.097628,1.167266,0.079799,0.406191,0.024325,0.019193,190.0
1.5038,2,5,0.6277,0.098314,1.214988,0.074112,0.409885,0.023752,0.018881,327.5
1.5038,2,6,0.6277,0.096179,1.167214,0.084165,0.423302,0.026373,0.018131,105.0
1.5038,2,7,0.6277,0.088043,1.221321,0.080386,0.416844,0.025456,0.018099,242.5
1.5038,3,0,0.6277,0.205774,1.451108,0.104448,0.488519,0.0,0.019642,0.0
1.5038,3,1,0.6277,0.185107,1.520035,0.098975,0.51322,0.0,0.018718,137.5
1.5038,3,2,0.6277,0.187909,1.481939,0.104742,0.513811,0.0,0.020187,275.0
1.5038,3,3,0.6277,0.194651,1.55397,0.098105,0.516001,0.0,0.020224,52.5
1.5038,3,4,0.6277,0.197455,1.512771,0.102937,0.483103,0.0,0.018368,190.0
1.5038,3,5,0.6277,0.189403,1.500765,0.105269,0.490026,0.0,0.019094,327.5
1.5038,3,6,0.6277,0.178967,1.510623,0.104391,0.498693,0.0,0.020221,105.0
1.5038,3,7,0.6277,0.198303,1.477237,0.099336,0.511982,0.0,0.019883,242.5
1.5038,3,8,0.6277,0.191478,1.477359,0.106462,0.49501,0.0,0.020003,20.0
1.5038,3,9,0.6277,0.18101,1.519686,0.101509,0.488192,0.0,0.019898,157.5
1.5038,3,10,0.6277,0.195306,1.501014,0.105427,0.513359,0.0,0.01997,295.0
1.5038,3,11,0.6277,0.179489,1.532316,0.101703,0.514584,0.0,0.019525,72.5
1.5038,3,12,0.6277,0.191071,1.541475,0.103939,0.522991,0.0,0.019191,210.0
1.1943,1,0,0.7807,0.0,0.686944,0.042342,0.235594,0.038957,0.013034,0.0
1.1943,1,1,0.7807,0.0,0.695536,0.043228,0.251595,0.040783,0.013665,137.5
1.1943,1,2,0.7807,0.0,0.681916,0.04353,0.246866,0.038537,0.012429,275.0
1.1943,1,3,0.7807,0.0,0.681692,0.043635,0.248942,0.038534,0.013327,52.5
1.1943,1,4,0.7807,0.0,0.681972,0.041664,0.248479,0.040783,0.01358,190.0
1.1943,2,0,0.7807,0.090922,0.913616,0.059294,0.323957,0.01955,0.014333,0.0
1.1943,2,1,0.7807,0.091536,0.907425,0.057707,0.315678,0.019389,0.014638,137.5
1.1943,2,2,0.7807,0.093982,0.875706,0.056646,0.323906,0.01937,0.014061,275.0
1.1943,2,3,0.7807,0.093875,0.901163,0.058044,0.325061,0.0191,0.014837,52.5
1.1943,2,4,0.7807,0.090064,0.968899,0.055817,0.338719,0.01939,0.013587,190.0
1.1943,2,5,0.7807,0.094653,0.875111,0.057321,0.3489,0.019854,0.014126,327.5
1.1943,2,6,0.7807,0.091436,0.937795,0.061744,0.322012,0.019768,0.015034,105.0
1.1943,2,7,0.7807,0.09283,0.952634,0.059237,0.322535,0.020144,0.01325,242.5
1.1943,3,0,0.7807,0.182803,1.21105,0.071628,0.395637,0.0,0.015124,0.0
1.1943,3,1,0.7807,0.18772,1.160278,0.07498,0.400356,0.0,0.015774,137.5
1.1943,3,2,0.7807,0.185311,1.137024,0.074853,0.408324,0.0,0.015926,275.0
1.1943,3,3,0.7807,0.186908,1.157348,0.074245,0.420725,0.0,0.015052,52.5
1.1943,3,4,0.7807,0.17465,1.133444,0.07234,0.406677,0.0,0.014946,190.0
1.1943,3,5,0.7807,0.187502,1.24897,0.072627,0.401807,0.0,0.016067,327.5
1.1943,3,6,0.7807,0.18544,1.182276,0.072457,0.404248,0.0,0.015906,105.0
1.1943,3,7,0.7807,0.192193,1.138385,0.077018,0.429078,0.0,0.014934,242.5
1.1943,3,8,0.7807,0.185836,1.175911,0.073061,0.409868,0.0,0.014509,20.0
1.1943,3,9,0.7807,0.193475,1.210646,0.075193,0.420761,0.0,0.015442,157.5
1.1943,3,10,0.7807,0.187642,1.206166,0.075932,0.43244,0.0,0.014632,295.0
1.1943,3,11,0.7807,0.181632,1.175779,0.075279,0.416639,0.0,0.016116,72.5
1.1943,3,12,0.7807,0.194628,1.204397,0.073974,0.42545,0.0,0.015469,210.0
3.6099,1,0,0.2574,0.0,2.430427,0.184372,0.704889,0.124345,0.041056,0.0
3.6099,1,1,0.2574,0.0,2.492945,0.192504,0.736163,0.123684,0.039798,137.5
3.6099,1,2,0.2574,0.0,2.549815,0.181923,0.64503,0.119817,0.040641,275.0
3.6099,1,3,0.2574,0.0,2.404299,0.189693,0.675456,0.118678,0.039705,52.5
3.6099,1,4,0.2574,0.0,2.585263,0.186125,0.696872,0.119016,0.040085,190.0
3.6099,2,0,0.2574,0.089839,3.25831,0.244463,0.884526,0.058363,0.045604,0.0
3.6099,2,1,0.2574,0.095199,3.12043,0.257095,0.952729,0.05407,0.04191,137.5
3.6099,2,2,0.2574,0.091981,3.263733,0.243833,0.967348,0.060681,0.04286,275.0
3.6099,2,3,0.2574,0.094887,3.237606,0.259061,0.898023,0.059775,0.043539,52.5
